	entry	grammar	definition	xr
5739	uddhata	adjective	risen, elevated high	['uddharati', 'uddhaṭa']
5740	uddhana	neuter	a fireplace, hearth; oven; a furnace, a crucible	
5741	uddhapāda	adjective	going upwards; going upstream	['uddha', 'uddhaṁpāda']
5742	uddhamma	adjective & masculine	contrary to the doctrine; unlawful; what is not the doctrine’, 	
5743	uddharaṇa	neuter	drawing out, pulling out; picking out; selection; removal; raising	
5744	uddharati	present 3 singular	draws out, pulls out, extracts; rescues; picks out, separates, selects; cites; removes, puts away; digs up; pulls up, elevates, raises	uddharati
5745	uddharāpetabba	future passive participle adjective		uddharāpeti
5746	uddharāpeti	causative present 3 singular	raises; takes	uddharati
5747	uddharāpetvā	absolutive		uddharāpeti
5748	uddharāpesuṁ	aorist 3 plural		uddharāpeti
5749	uddhariṁsu	3 plural		uddharati
5750	uddharitabba	future passive participle adjective		uddharati
5751	uddharituṁ	infinitive		uddharati
5752	uddharitvā	absolutive		uddharati
5753	uddhariyyati	passive present 3 singular		uddharati
5754	uddharīyati	passive present 3 singular		uddharati
5755	uddhavirecana	neuter	“purging upwards”, emetic treatment	uddha
5756	uddhasudha	adjective or ~ā, feminine	with a covering of plaster; or covering plaster	uddha
5757	uddhasta	adjective	risen; flaring up	
5758	uddhasta	adjective	(adjective) covered (with); smothered	
5759	uddhātuṁ	infinitive		uddharati
5760	uddhāra	masculine	raising; picking up; selecting; extracting; separating; removing	
5761	uddhumāta	past participle adjective & neuter	inflated; swollen, bloated; the bloated (corpse, as asubha kammatthāna	
5762	uddhumātaka	adjective & neuter	swollen; bloated, especially of a corpse; the bloated (corpse, as asubha kammatthāna	
5763	uddhumāyikā	feminine	a kind of small frog	uddhumāyati
5764	udrabhati	present 3 singular	eats	udrahati
5765	udrahati	present 3 singular	eats	udrabhati
5766	udriyati	present 3 singular	is split, breaks open; falls apart, decays	udrīyati
5767	udriyati	present 3 singular	breaks (of dawn)	udrīyati
5768	udrīyati	present 3 singular	is split, breaks open; falls apart, decays	udriyati
5769	udrīyati	present 3 singular	breaks (of dawn)	udriyati
5770	undura	masculine	a rat or mouse	undūra
5771	undurakkhāyita	adjective	gnawed by mice or rats	undura
5772	undurakhāyita	adjective	gnawed by mice or rats	undura
5773	undūra	masculine	a rat or mouse	undura
5774	unnata	past participle adjective	high, lofty; risen; raised	['unnamati', 'uṇṇata']
5775	unnata	past participle adjective	elated; haughty	['unnamati', 'uṇṇata']
5776	unnatavanata	adjective	raised and depressed; prominent and low; elated and cast down	unnata
5777	unnati	feminine	elation; raising oneself; pride	uṇṇati
5778	unnatunnata	adjective	high (in birth) and high (in moral behavior), who begins high and stays high	['uṇṇatuṇṇata', 'unnata']
5779	unnatunnata-onata	adjective	elated and cast down	unnatunnata
5780	unnamati	present 3 singular	bends upwards; rises	uṇṇamati
5781	unnamati	present 3 singular	raises oneself; exalts oneself; is elated	uṇṇamati
5782	unnameti	causative present 3 singular	makes bend upwards; raises	['uṇṇameti', 'unnamati']
5783	unnala	adjective	boisterous, insolent; uncontrolled	unnaḷa
5784	unnaḷa	adjective	boisterous, insolent; uncontrolled	unnala
5785	unnādin	adjective	crying out; clamoring; making noise	
5786	unnādi	adjective	crying out; clamoring; making noise	
5787	unnāmaninnāmin	adjective	rising and sinking; uneven	unnāmininnāmi(n)
5788	unnāmaninnāmi	adjective	rising and sinking; uneven	unnāmininnāmi(n)
5789	unnāmininnāmin	adjective	rising and sinking; uneven	unnāmaninnāmi(n)
5790	unnāmininnāmi	adjective	rising and sinking; uneven	unnāmaninnāmi(n)
5791	upakacchaka	masculine, neuter	(the region of) the armpit	
5792	upakaṭṭha	past participle adjective	drawn near, near; drawing near (especially of time)	upakaḍḍhati
5793	upakaḍḍhati	present 3 singular	draws towards; drags away to, drags near	upakaḍḍhati
5794	upakaṇṇakajappin	adjective	whisper in the ear	upakaṇṇakaṁ
5795	upakaṇṇakajappi	adjective	whisper in the ear	upakaṇṇakaṁ
5796	upakaṇṇakaṁ	indeclinable	close to the ear; in the ear	['upakaṇṇakamhi', 'upakaṇṇake']
5797	upakaṇṇakamhi	indeclinable	close to the ear; in the ear	upakaṇṇake
5798	upakaṇṇake	indeclinable	close to the ear; in the ear	upakaṇṇakamhi
5799	upakappati	present 3 singular	is fit for, is ready at hand; serves, is a benefit (to, genitive/dative)	upakappati
5800	upakappeti	causative present 3 singular	prepares, makes ready; brings near, fetc.hes	upakappati
5801	upakaraṇa	neuter	a useful object; means, instrument, implement; requisite	
5802	upakāra	adjective	who is a help; helping; useful; beneficial	
5803	upakārī	feminine	a subsidiary fortification added to a rampart; a low bastion	
5804	upakāsiṁ	aorist 1 singular	assisted, helped; served; fostered, took care of	
5805	upakirituṁ	indeclinable	to bestrew; to scatter (upon)	
5806	upakītaka	masculine	one who is bought; a purchased (slave)	['upakkītaka', 'upakkītaka']
5807	upakiliṭṭha	adjective	stained, soiled; defiled; spoiled	upakkiliṭṭha
5808	upakūlita	adjective	burnt, scorched; shriveled	upakuḷita
5809	upakūḷita	adjective	burnt, scorched; shriveled	upakulita
5810	upakka	past participle adjective	(as if) boiled or inflamed; (red and) swollen	uppakka
5811	upakkama	masculine	approach, beginning; setting about, undertaking, enterprise; act, action; act of violence, assault; means, expedient; treatment	
5812	upakkamat	par. present adjective		upakkamati
5813	upakkamati	present 3 singular	goes near, approaches (for a purpose); sets about, begins; applies oneself, exerts oneself (especially sexually), masturbates; sets upon, assaults	upakkamati
5814	upakkami	aorist 3 singular		upakkamati
5815	upakkamiṁsu	3 plural		upakkamati
5816	upakkamitvā	absolutive		upakkamati
5817	upakkiliṭṭha	adjective	stained, soiled; defiled; spoiled	upakiliṭṭha
5818	upakkilesa	masculine	stain, soiling; blot, blemish, defilement; impurity	upaklesa
5819	upakkitaka	masculine	one who is bought; a purchased (slave)	['upakkītaka', 'upakītaka']
5820	upakkītaka	masculine	one who is bought; a purchased (slave)	['upakkitaka', 'upakītaka']
5821	upakkosati	present 3 singular	blames; criticizes; reproaches; complains	upakkosati
5822	upakkhaṭa	past participle adjective	prepared; arranged	
5823	upakkhalati	present 3 singular	trips; stumbles	
5824	upaklesa	masculine	stain, soiling; blot, blemish, defilement; impurity	upakkilesa
5825	upagacchati	present 3 singular	approaches, reaches, arrives at; enters any state, enters upon; participates in, undergoes; makes choice of, holds to; admits, regards (as)	upagacchati
5826	upagacchi	aorist 3 singular		upagacchati
5827	upagacchiṁ	1 singular		upagacchati
5828	upagacchiṁsu	3 plural		upagacchati
5829	upagacchisati	future 3 singular		upagacchati
5830	upagacchuṁ	3 plural		upagacchati
5831	upagacchu	3 plural		upagacchati
5832	upagañchi	aorist 3 singular		upagacchati
5833	upagañchiṁ	1 singular		upagacchati
5834	upagañchuṁ	3 plural		upagacchati
5835	upagañchu	3 plural		upagacchati
5836	upagata	past participle adjective	having approached, having arrived, having reached; having gone to, entered upon; undergoing; holding to	upagacchati
5837	upagantar	masculine	one who approaches; one who enters upon	
5838	upaganta	masculine	one who approaches; one who enters upon	
5839	upagantabba	future passive participle adjective		upagacchati
5840	upagantuṁ	infinitive		upagacchati
5841	upagantvā	absolutive		upagacchati
5842	upagamana	neuter	approach, arrival; allowing, consenting to; entering upon; holding to	
5843	upagamiṁsu	3 plural		upagacchati
5844	upagamma	absolutive		upagacchati
5845	upagā	aorist 3 singular	approached; arrived at; (also upāgā)	
5846	upaghāta	masculine	hurt; injury; damage	
5847	upaghāti	feminine	hurting; damage	
5848	upaghātika	neuter ~ā, feminine	hurting, injury; damage	
5849	upacaya	masculine	accumulation, quantity, heap; growth, increase	
5850	upacarati	present 3 singular	approaches; serves, attends; treats carefully, honors; uses figuratively	upacarati
5851	upacāra	masculine	approach, way or means of approach; access; vicinity, neighborhood; access; surrounding space; precincts; environs	
5852	upacāraka	adjective	attending upon, serving	
5853	upacikā	feminine	termite; white ant	
5854	upacita	past participle adjective	heaped up, accumulated; strengthened; increased	upacināti
5855	upacināti	present 3 singular	heaps up, collects, accumulates; increases, strengthens	upacināti
5856	upacinitvā	absolutive		upacināti
5857	upacīyati	passive present 3 singular		['upacīyate & upaciyyati', 'upacināti']
5858	upacīyate	passive present 3 singular		['upacīyati & upaciyyati', 'upacināti']
5859	upacīyyati	passive present 3 singular		['upacīyate & upacīyati', 'upacināti']
5860	upaccagaṁ	1 singular		['upātigacchati', 'upātigā']
5861	upaccagā	aorist 3 singular		['upātigacchati', 'upātigā']
5862	upaccaguṁ	3 plural		['upātigacchati', 'upātigā']
5863	upaccagū	3 plural		['upātigacchati', 'upātigā']
5864	upacchijjati	passive present 3 singular		upacchindati
5865	upacchindati	present 3 singular	cuts off; interrupts; destroys; stops	upacchindati
5866	upacchinna	past participle adjective	cut off; interrupted; destroyed	upacchindati
5867	upacchubhati	present 3 singular	throws (something, accusative) to (accusative)	['upacchubhati', 'upacchumbhati']
5868	upacchumbhati	present 3 singular	throws (something, accusative) to (accusative)	upacchubhati
5869	upajānāti	present 3 singular	finds out (for oneself), ascertains; invents; knows by personal experience (+ accusative or genitive); (first) teaches	
5870	upajāyati	present 3 singular	is produced (in addition); appears; is (re)born	
5871	upajīvati	present 3 singular	lives upon, supports oneself by, makes a living from (+ acc; occasionally + instrumental); is dependent on, serves; makes use of	upajīvati
5872	upajīvamāna	present participle adjective		upajīvati
5873	upajjhā	feminine	the state of having a preceptor; pupillage; being under instruction	
5874	upajjhāya	masculine	a companion, adviser; teacher	
5875	upajjhāya	masculine	the preceptor (of a bhikkhu); an instructor; the sponsor for a bhikkhu's upasampadā	
5876	upajjhāyamatta	adjective (masculine)	(one) having the status of preceptor; like a preceptor	upajjhāya
5877	upajjhāyamūlaka	adjective	deriving from the preceptor	upajjhāya
5878	upajjhāyā	feminine	the preceptress (of a bhikkhunī); an instructor	
5879	upaññassaṁ	1 singular		upajānāti
5880	upaññissaṁ	1 singular		upajānāti
5881	upaññāta	past participle adjective	found out (for oneself); invented; known; instituted; (first) taught	upajānāti
5882	upaññātta	past participle adjective	made known; instituted; (first) taught	upajānāti
5883	upaññāsiṁ	aorist 1 singular		upajānāti
5884	upaṭṭhapana	neuter	producing, bringing about; arranging attendance; having (someone) served or cared for	upaṭṭhāpana
5885	upaṭṭhapayati	causative present 3 singular	(also upaṭṭhāpeti, upaṭṭhapeti) brings near, provides; procures, fetc.hes; makes serve or attend, employs; causes to appear, brings about	['upaṭṭhahati', 'upaṭṭheti']
5886	upaṭṭhapeti	causative present 3 singular	(also upaṭṭhāpeti, upaṭṭhapayati) brings near, provides; procures, fetc.hes; makes serve or attend, employs; causes to appear, brings about	['upaṭṭhahati', 'upaṭṭheti']
5887	upaṭṭhahati	present 3 singular	stands near, stands by; places oneself by; presents oneself; is present, appears; stands near in order to serve, serves, attends (+ accusative, occasionally + dative/genitive); tends; worships	['upatiṭṭhati', 'upaṭṭhaheti', 'upaṭṭhāti', 'upaṭṭheti']
5888	upaṭṭhahanta	present participle adjective (f. ~antī) upaṭṭhahati		upaṭṭhahati
5889	upaṭṭhahiṁ	1 singular		upaṭṭhahati
5890	upaṭṭhahiṁsū	3 plural		upaṭṭhahati
5891	upaṭṭhaheti	present 3 singular	stands near, stands by; places oneself by; presents oneself; is present, appears; stands near in order to serve, serves, attends (+ accusative, occasionally + dative/genitive); tends; worships	['upatiṭṭhati', 'upaṭṭhahati', 'upaṭṭhāti', 'upaṭṭheti']
5892	upaṭṭhahiyamāna	passive present participle adjective		['upaṭṭhahati', 'upaṭṭheti']
5893	upaṭṭhāka	adjective (f. ~ī)& masculine feminine	(adjective) serving, attending, supporting	
5894	upaṭṭhāka	adjective (f. ~ī)& masculine feminine	(m.f.) one who serves or supports; a personal attendant; a nurse	
5895	upaṭṭhāti	present 3 singular	stands near, stands by; places oneself by; presents oneself; is present, appears; stands near in order to serve, serves, attends (+ accusative, occasionally + dative/genitive); tends; worships	['upatiṭṭhati', 'upaṭṭhahati', 'upaṭṭhaheti', 'upaṭṭheti']
5896	upaṭṭhātuṁ	infinitive		upaṭṭheti
5897	upaṭṭhāna	neuter	. going near, keeping close to; presence, appearance; serving, waiting on, attendance; worshiping	
5898	upaṭṭhānasālā	feminine	audience hall, assembly hall	upaṭṭhāna
5899	upaṭṭhāpana	neuter	producing, bringing about; arranging attendance; having (someone) served or cared for	upaṭṭhapana
5900	upaṭṭhāpayati	causative present 3 singular	brings near, provides; procures, fetc.hes; makes serve or attend, employs; causes to appear, brings about	['upaṭṭhapeti', 'upaṭṭhāpeti, upaṭṭheti']
5901	upaṭṭhāpayat	present participle adjective		upaṭṭhāpayati
5902	upaṭṭhāpaya	present participle adjective		upaṭṭhāpayati
5903	upaṭṭhāpittha	2 plural		['upaṭṭhahati', 'upaṭṭhāpeti']
5904	upaṭṭhāpetabba	future passive participle adjective		upaṭṭhāpeti
5905	upaṭṭhāpetar	masculine	one who causes (someone) to serve; attend	
5906	upaṭṭhāpeta	masculine	one who causes (someone) to serve; attend	
5907	upaṭṭhāpeti	causative present 3 singular	(also upaṭṭhapeti, upaṭṭhapayati) brings near, provides; procures, fetc.hes; makes serve or attend, employs; causes to appear, brings about	['upaṭṭhahati', 'upaṭṭheti']
5908	upaṭṭhāpetvā	absolutive		upaṭṭhāpeti
5909	upaṭṭhāpetvāna	absolutive		upaṭṭhāpeti
5910	upaṭṭhāpesi	causative present 3 singular		['upaṭṭhahati', 'upaṭṭhāpeti']
5911	upaṭṭhābba	future passive participle adjective & neuter impersonal		upaṭṭheti
5912	upaṭṭhāsi	aorist 3 singular		['upaṭṭhahati', 'upaṭṭhāti']
5913	upaṭṭhāsiṁ	aorist 3 singular		['upaṭṭhahati', 'upaṭṭhāti']
5914	upaṭṭhita	past participle adjective	(act.) come near, approached; arrived, present, at hand; serving, attending; dedicated	upaṭṭheti
5915	upaṭṭhita	past participle adjective	(passive) served, attended	upaṭṭheti
5916	upaṭṭheti	present 3 singular	stands near, stands by; places oneself by; presents oneself; is present, appears; stands near in order to serve, serves, attends (+ accusative, occasionally + dative/genitive); tends; worships	['upatiṭṭhati', 'upaṭṭhahati', 'upaṭṭhaheti', 'upaṭṭhāti']
5917	upaṭṭhenta	present participle adjective (f. ~entī) upaṭṭhahati	stands near, stands by; places oneself by; presents oneself; is present, appears; stands near in order to serve, serves, attends (+ accusative, occasionally + dative/genitive); tends; worships	['upatiṭṭhati', 'upaṭṭhahati', 'upaṭṭhaheti', 'upaṭṭhāti']
5918	upaḍḍha	adjective & masculine neuter	(adjective) half; the half of	
5919	upaḍḍha	adjective & masculine neuter	(m. neuter) a half	
5920	upaḍḍhullikhita	adjective	half combed, half dressed	upaḍḍha
5921	upatiṭṭhati	present 3 singular	stands near, stands by; places oneself by; presents oneself; is present, appears; stands near in order to serve, serves, attends (+ accusative, occasionally + dative/genitive); tends; worships	['upaṭṭhahati', 'upaṭṭhaheti', 'upaṭṭhāti']
5922	upatiṭṭhanta	present participle adjective (f. ~antī)		upatiṭṭhati
5923	upatiṭṭhitvā	absolutive		upaṭṭheti
5924	upatthaddha	adjective	supported; sustained	
5925	upatthaddha	adjective	stiff, proud; haughty	
5926	upadaṁsayati	present 3 singular	shows, exhibits; makes appear; presents	upadaṁseti
5927	upadaṁsayi	aorist 3 singular		upadaṁsayati
5928	upadaṁsitar	masculine	one who shows; exhibits	upadaṁseta(r)
5929	upadaṁsita	masculine	one who shows; exhibits	upadaṁseta(r)
5930	upadaṁsetar	masculine	one who shows; exhibits	upadaṁsita(r)
5931	upadaṁseta	masculine	one who shows; exhibits	upadaṁsita(r)
5932	upadaṁseti	present 3 singular	shows, exhibits; makes appear; presents	upadaṁsayati
5933	upadaṁsetuṁ	infinitive		upadaṁseti
5934	upadahati	present 3 singular	places upon; lays down, imposes; gives in addition, hands over; places under oneself, lies down upon	upadheti
5935	upadahanta	present participle adjective		upadahati
5936	upadahātabba	future passive participle adjective		upadahati
5937	upadahiṁsu	aorist 3 singular		upadahati
5938	upadahita	past participle adjective	laid upon; handed over; supplied	upadahati
5939	upadahitabba	future passive participle adjective		upadahati
5940	upadisati	present 3 singular	points out (to); indicates; explains, teaches	upadisati
5941	upadissati	present 3 singular	is seen, appears	upadisati
5942	upadussati	present 3 singular	bears ill-will, is resentful	upadisati
5943	upadussiṁ	aorist 1 singular		upadussati
5944	upaddava	masculine	a sudden or grievous accident, calamity, misfortune; violence, oppression	
5945	upadduta	past participle adjective	(some times written as upaddūta) oppressed; tyrannized over; assailed; visited by calamities	upaddaveti
5946	upaddūta	past participle adjective	oppressed; tyrannized over; assailed; visited by calamities	['upaddaveti', 'upadduta']
5947	upadhāya	absolutive	places upon; lays down, imposes; gives in addition, hands over; places under oneself, lies down upon	['upadahati', 'upadheti']
5948	upadhāraṇa	neuter ~ā, feminine	part of a vinā, perhaps the head or finger-holds	
5949	upadhārayati	present 3 singular	considers, reflects on; holds in the mind, pays attention to; holds, considers as; looks for, investigates, finds out	upadhāreti
5950	upadhārita	past participle adjective	considered; kept in mind; understood	upadhāreti
5951	upadhāreti	present 3 singular	considers, reflects on; holds in the mind, pays attention to; holds, considers as; looks for, investigates, finds out	upadhārayati
5952	upadhāvati	present 3 singular	runs up to, rushes up; hurries towards (for help); runs after	upadhāvati
5953	upadhāvitvā	absolutive		upadhāvati
5954	upadhi	masculine	worldly possessions or belongings, acquisitions (according to commentaries including the body); attachment to such possessions (forming a basis for rebirth)	
5955	upadheti	present 3 singular	places upon; lays down, imposes; gives in addition, hands over; places under oneself, lies down upon	upadahati
5956	upanaccantī	adjective (feminine)	dancing; dancing before	
5957	upanaddha	past participle adjective	nursing a grudge, resentful	upanandhati
5958	upanandhati	present 3 singular	nurses a grudge; feels resentment (against, locative)	upanayhati
5959	upanandhi	aorist 3 singular		upanandhati
5960	upanamat	present participle adjective		upanamati
5961	upanama	present participle adjective		upanamati
5962	upanamati	present 3 singular	tends towards, approaches; attends upon	upanamati
5963	upanayhati	present 3 singular	nurses a grudge; feels resentment (against, locative)	upanandhati
5964	upanāmayati	causative present 3 singular	makes bends towards, makes touch; brings near, hands (to); holds out, offers, presents	['upanāmeti', 'upanamati']
5965	upanāmayi	aorist 3 singular		['upanamati', 'upanāmayati']
5966	upanāmayuṁ	3 plural		['upanamati', 'upanāmayati']
5967	upanāmita	past participle adjective	brought near, handed (to); made to touch	upanamati
5968	upanāmetabba	future passive participle adjective		upanāmeti
5969	upanāmeti	causative present 3 singular	makes bends towards, makes touch; brings near, hands (to); holds out, offers, presents	['upanāmayati', 'upanamati']
5970	upanāmesi	aorist 3 singular		upanāmeti
5971	upanāmesuṁ	3 plural		['upanamati', 'upanāmeti']
5972	upanāha	masculine	nursing a grudge, resentment	
5973	upanāhin	adjective	prone to nurse a grudge, of resentful nature	
5974	upanāhi	adjective	prone to nurse a grudge, of resentful nature	
5975	upanikkhamati	present 3 singular	goes out; comes out	
5976	upanikkhamanta	present participle adjective		upanikkhamati
5977	upanikkhitta	past participle adjective	positioned, placed; deposited	upanikkhamati
5978	upanikkhipati	present 3 singular	places, puts down (near, genitive); places beside (for comparison); adds to; deposits	upanikkhipati
5979	upanikkhipana	neuter	placing near	
5980	upanikkhipi	aorist 3 singular		upanikkhamati
5981	upanikkhipitabba	future passive participle adjective		upanikkhamati
5982	upanikkhipitvā	absolutive		['upanikkhipati', 'upanikkhamati']
5983	upanikkhepana	neuter	putting down (near); placing beside (for comparison)	
5984	upanighaṁsanta	adjective (f. ~antī)	rubbing against, pressing up near to	upanighaṁsati
5985	upanijjhāyat	present participle adjective		upanijjhāyati
5986	upanijjhāya	present participle adjective		upanijjhāyati
5987	upanijjhāyati	present 3 singular	observes closely; looks at or thinks of lustfully; thinks of, reflects on	upanijjhāyati
5988	upanijjhāyi	aorist 3 singular		upanijjhāyati
5989	upanijjhāyita	past participle adjective	observed, thought of	upanijjhāyati
5990	upanijjhāyitabba	future passive participle adjective	observed, thought of	upanijjhāyati
5991	upanidhā	feminine	setting beside; comparison; similarity	
5992	upanidhāya	indeclinable	placing near to, setting beside (for comparison); in comparison with (accusative or dative/genitive); in reference to	
5993	upanidhi	masculine	deposit; property deposited	
5994	upanidhi	masculine	setting beside; comparison, similarity	
5995	upanipajjati	present 3 singular	lies down beside or near (+accusative)	upanipajjati
5996	upanipanna	past participle adjective	lying down or near	upanipajjati
5997	upanibajjati	passive present 3 singular		['upanibajjate', 'upanibandhati']
5998	upanibajjate	passive present 3 singular		['upanibajjati', 'upanibandhati']
5999	upanibatta	adjective	come into being, originated	
6000	upanibaddha	past participle adjective	fastened, tied to; connected to	upanibandhati
6001	upanibandhati	present 3 singular	ties, fastens, attaches; connects (+locative or instrumental)	
6002	upanibandhana	neuter ~ā, feminine	tying, fastening; what ties or connects	
6003	upanibandhitvā	absolutive		upanibandhati
6004	upanivattati	present 3 singular	comes back, returns (to)	
6005	upanisa	adjective	based on, living near	
6006	upanisā	feminine	sitting near (a teacher) to listen, attention; secret knowledge	
6007	upanisā	feminine	cause, basis; condition, prerequisite	
6008	upanisinna	past participle adjective	seated near, seated beside	upanisīdati
6009	upanisīdati	present 3 singular	sits close to, sits beside (+accusative)	upanisīdati
6010	upanisīdapetvā	causative absolutive		upanisīdati
6011	upanisīditvā	absolutive		upanisīdati
6012	upanisevati	present 3 singular	frequents; keeps close to, clings to	upanisevati
6013	upanissāya	absolutive	going near to; depending on; near (+accusative or genitive)	
6014	upanissita	past participle adjective	clinging to, dependent (upon)	upanissayati
6015	upanīta	past participle adjective	led, drawn towards; brought to, offered; used; used up; initiated; alluded to, cited	upaneti
6016	upanītavaya	adjective	with one; s youth gone, advanced in age	upanīta
6017	upanīya	absolutive		upaneti
6018	upanīyati	passive present 3 singular		upaneti
6019	upanīyamāna	present participle adjective		upaneti
6020	upanīyyati	passive present 3 singular		upaneti
6021	upanīhātuṁ	indeclinable	to take out, to produce	
6022	upanetabba	future passive participle adjective		upaneti
6023	upaneti	present 3 singular	leads to, brings near to (+ accusative); adds; proffers, offers; brings to (an end), leads to (death); make use of, puts to use; uses up; initiates, takes as disciple; adduces, cites, alludes to	upaneti
6024	upanetvā	absolutive		upaneti
6025	upanenta	present participle adjective (f. ~entī) upaneti		upaneti
6026	upaneyya	absolutive		upaneti
6027	upanesi	aorist 3 singular		upaneti
6028	upanesuṁ	3 plural		upaneti
6029	upapajja	absolutive		upapajjati
6030	upapajjaṁ	absolutive		upapajjati
6031	upapajjat	present participle adjective		upapajjati
6032	upapajjati	present 3 singular	enters upon, enters (a state); appears; comes into existence (in); is reborn (in)	
6033	upapajjati	present 3 singular	is fit for, is suitable	
6034	upapajjatha	aorist 3 singular		upapajjati
6035	upapajji	aorist 3 singular		upapajjati
6036	upapajjitar	masculine	(from upapajjati) one who comes into existence (in), is reborn (in)	
6037	upapajjita	masculine	(from upapajjati) one who comes into existence (in), is reborn (in)	
6038	upapajjiṁsu	3 plural		upapajjati
6039	upapatti	feminine	coming into existence, rebirth	
6040	upapattipaṭilābhiya	adjective	leading to the obtaining of rebirth, or a new existence	upapatti
6041	upapanna	past participle adjective	entered; come into existence, reborn (in)	upapajjati
6042	upapanna	past participle adjective	possessed of, furnished with; fit, suitable	upapajjati
6043	upaparikkhat	present participle adjective		upaparikkhati
6044	upaparikkha	present participle adjective		upaparikkhati
6045	upaparikkhati	act.presenta_	investigates; examines	upaparikkhati
6046	upaparikkhi	aorist 3 singular		upaparikkhati
6047	upaparikkhitabba	future passive participle adjective		upaparikkhati
6048	upallaviṁ	aorist 1 singular	I swam, I floated	upaplaviṁ
6049	upapādiṁ	1 singular		upapajjati
6050	upapiṁsana	neuter (& ~ī feminine)	grinding; something ground, powder	upapisana
6051	upapisana	neuter (& ~ī feminine)	grinding; something ground, powder	upapiṁsana
6052	upaplaviṁ	aorist 1 singular	I swam, I floated	upallaviṁ
6053	upabbajati	present 3 singular	goes towards, approaches; visits; becomes involved with	
6054	upabhogaparibhoga	masculine, neuter	various objects of enjoyment, goods and possessions	
6055	upamā	feminine	comparison, similarity, likeness; object of comparison; simile; exemplification; parable	
6056	upaya	masculine & adjective	(masculine) going near to, involvement	
6057	upaya	masculine & adjective	(adjective) going to be; being involved	
6058	upayanta	present participle adjective		upayāti
6059	upayāti	present 3 singular	comes near, approaches, reaches; enters (a state or condition); performs (a sacrifice); flows; flows into; flows at the full	upayāti
6060	upayāna	neuter	approach, arrival	
6061	upayāpeti	causative present 3 singular		upayāti
6062	upayāpetabba	future passive participle adjective		upayāpeti
6063	upayāsi	aorist 3 singular		upayāti
6064	upayupādāna	neuter & ~ā masculine plural	involvement and holding on to	['upayūpādāna', 'upaya']
6065	upayūpādāna	neuter & ~ā masculine plural	involvement and holding on to	['upayupādāna', 'upaya']
6066	uparajja	neuter	(from uparāja) the state of being an uparāja, viceroyalty	
6067	uparata	adjective	ceased, stopped; quiet; dead; having given up, abstaining (from)	uparamati
6068	upari	indeclinable	(adverb) up, above, upwards; upstream; further, in addition; afterwards, later (in a text)	
6069	upari	indeclinable	(prep, or postp.) over, above; upon, on (+ genitive or locative; occasionally + abl; often written as cpd.)	
6070	uparito	indeclinable	(adverb) upwards, above, over, on top; from above	
6071	uparito	indeclinable	(prep, or postp.) over, above (+ genitive or ablative)	
6072	uparipāsāda	masculine	the upper terrace, the flat roof of a mansion	upari
6073	uparibhāvaṅgamanīya	adjective	tending to go up, leading towards	upari
6074	uparima	adjective	being above, upper, higher; later, following	
6075	uparivehāsakutī	feminine	a hut with its top story open to the air (?)	upari
6076	uparujjhati	passive present 3 singular		uparundhati
6077	uparuddha	past participle adjective	stopped; obstructed; besieged	uparundhati
6078	uparuddhati	present 3 singular	stops, obstructs; besieges; molests, troubles	['uparodhati', 'uparundhati']
6079	uparundhati	present 3 singular	stops, obstructs; besieges; molests, troubles	['uparodhati', 'uparuddhati (?)']
6080	uparundhiṁ	1 singular		uparundhati
6081	uparundhiya	absolutive		uparundhati
6082	uparūpari	indeclinable	more and more; higher and higher; over, on top of; right above	upari
6083	uparodhati	present 3 singular	stops, obstructs; besieges; molests, troubles	['uparuddhati', 'uparundhati']
6084	uparodhana	neuter	stopping; obstructing	
6085	uparodheti	causative present 3 singular	obstructs, injures, destroys	uparodhati
6086	uparopa	masculine	a plant	
6087	upalabbhati	passive present 3 singular	is found, exists; is perceived; is ascertained	['upalabbhiyati', 'upalabhiyati', 'upalabhati']
6088	upalabbhiyati	passive present 3 singular	is found, exists; is perceived; is ascertained	['upalabhati', 'upalabbhati']
6089	upalabhiyati	passive present 3 singular	is found, exists; is perceived; is ascertained; (upalabbhati)	upalabhati
6090	upalāpana	neuter ~ā, feminine	persuading (to friendship), winning over (with gifts)	
6091	upalāpetabba	future passive participle adjective		upalāpeti
6092	upalāpeti	present 3 singular	treats with kindness, makes friendly overtures; wins over; persuades to friendship	upalāpeti
6093	upalāpetvā	absolutive		upalāpeti
6094	upalāpenta	present participle adjective		upalāpeti
6095	upalāpesuṁ	aorist 3 singular		upalāpeti
6096	upalikkhati	present 3. singular	scratches, cuts, wounds	
6097	upalimpati	present 3 singular	anoints; smears; defiles	upalippati
6098	upalimpati	present 3 singular	(passive) is smeared, is defiled (by, instrumental)	upalippati
6099	upalimpati	present 3 singular	is attached to, sticks, adheres (to, locative)	upalippati
6100	upalitta	past participle adjective	attached to; sticking to	upalimpati
6101	upalippati	passive present 3 singular	is smeared, is defiled (by, instrumental)	upalimpati
6102	upalippati	passive present 3 singular	is attached to, sticks, adheres (to, locative)	upalimpati
6103	upaḷāsitvā	indeclinable	making sound, playing	upaḷāsetvā
6104	upaḷāsetvā	indeclinable	making sound, playing	upaḷāsitvā
6105	upavajja	future passive participle adjective	to be criticized, blameworthy	upavadati
6106	upavajjakula	neuter	a family which can be approached	upavajja
6107	upavattati	present 3 singular	comes near, falls to; is found, is	
6108	upavadati	present 3 singular	speaks ill of, abuses, criticizes	upavadati
