pali	grammar	meaning	from
anutīre	indeclinable	alongside or near the bank (of a river)	
anutunī	adjective (feminine)	not menstruating; not in the fertile period	utunī
anuttara	adjective	having no superior; supreme, best	uttara
anuttariya	adjective	incomparable, excellent	ānuttariya
ānuttāsī	negative adjective	not fearful; not afraid	uttāsi(n)
ānuttāsi	negative adjective	not fearful; not afraid	uttāsi(n)
anuttiṇṇa	negative adjective	who has not crossed over; not come out	uttiṇṇa
anutthavati	present 3 singular	praises; speaks of repeatedly	anutthunāti
anutthuṇāti	present 3 singular	wails; deplores; laments (for)	anutthunāti
anutthuṇāti	present 3 singular	praises; speaks of repeatedly	anutthunāti
anutthunāti	present 3 singular	wails; deplores; laments (for)	anutthuṇāti
anutthunāti	present 3 singular	praises; speaks of repeatedly	anutthuṇāti
anutrāsa	adjective	free from fear; unafraid	utrāsa
ānutrāsī	negative adjective	not fearful; not afraid	utrāsi(n)
ānutrāsi	negative adjective	not fearful; not afraid	utrāsi(n)
anudaka	adjective	without water	['anūdaka and anodaka', 'udaka']
anudayatā	feminine abstract noun	compassion, kindness, favor	anuddayatā
anudayā	feminine	compassion, care	anuddayā
anudasseti	present 3 singular	shows; instructs	anutthunāti
anuḍahati	present 3 singular	burns; consumes	anudahati
anudahati	present 3 singular	burns; consumes	anuḍahati
anudiṭṭhi	feminine	(dogmatic) view	
anudisaṃ	indeclinable	in all directions	
anudisā	feminine	an intermediate point of the compass	
anudissati	present 3 singular	points out; declares; assigns, dedicates (a gift)	
anudūta	masculine	a messenger sent with another; a companion	
anuddayatā	feminine abstract noun	compassion, kindness, favor	anudayatā
anuddayā	feminine	compassion, care	anudayā
anuddhaṃsita	past participle adjective	disturbed, contaminated	anuddhaṁseti
anuddhaṃsita	past participle adjective	(falsely) accused; defamed	anuddhaṁseti
anuddhaṃseti	present 3 singular	disturbs, contaminates, taints	
anuddhaṃseti	present 3 singular	accuses (falsely); defames	
anuddhacca	neuter	absence of over-excitement	uddhacca
anuddhaṭa	adjective	(also anuddhata)not puffed-up; not over-excited, not flurried; calm	uddhaṭa
anuddhata	adjective	not puffed-up; not over-excited, not flurried; calm	['anuddhaṭa', 'uddhata']
anudhaṃsana	neuter ~ā, feminine	(falsely) accusing; (false) accusation; defamation	
anudhamma	masculine	natural state or essential property; right method; method according to the dhamma, to the doctrine	
anudhammacārī	adjective	following the (right) doctrine; living in accordance with the doctrine	anudhammaṁ
anudhammacāri	adjective	following the (right) doctrine; living in accordance with the doctrine	anudhammaṁ
anudhammatā	feminine abstr	conformity to the doctrine; right method	anudhammaṁ
anudhammaṃ	indeclinable	in accordance with the dhamma, with the doctrine	
anudhammaṃ	indeclinable	in accordance with	
anudhāvati	present 3 singular	runs after, follows; chases; runs along	
anudhāvanaka	adjective	pursuing; following	anudhāvati
anudhāvita	past participle adjective	pursuing	anudhāvati
anunadītīre	indeclinable	along the bank of the river	anudhāvati
anunaya	masculine	affection, inclination towards; winning over, conciliation	
anunayamāna	present participle adjective	leading; conciliating; supplicating, persuading	
anunetar	masculine	one who leads or persuades or conciliates	
anuneta	masculine	one who leads or persuades or conciliates	
anunenta	present participle adjective (f. ~entī)	leading; conciliating; supplicating, persuading	
anunnala	adjective	not boisterous; controlled	unnala
anunnaḷa	adjective	not boisterous; controlled	unnaḷa
anunnāmaninnāmi	adjective	level; even	unnāmaninnāmi(n)
anunnāmininnāmi	adjective	level; even	unnāmininnāmi(n)
anupakampati	present 3 singular	shakes; quivers	
anupakuṭṭha	negative adjective	blameless; irreproachable	anupakkuṭṭha
anupakkama	masculine	not the action (of another); not an act of violence	upakkama
anupakkilesa	masculine	not a stain; non-defilement	upakkilesa
anupakkuṭṭha	negative adjective	blameless; irreproachable	anupakuttha
anuppakkhanda	masculine or adjective	encroaching on, going over to	
anuppakkhandati	present 3 singular	pushes oneself forward, encroaches on; intrudes, works one’s way in; goes over to	
anupakkhipitvā	indeclinable	placing in	anupakkhandati
anupakhajjana	neuter	(formed from anupakhajja) encroaching upon	anupakkhandati
anupakhajjanta	adjective	not encroaching upon	anupakkhandati
anupagacchati	present 3 singular	goes over to, passes (into)	anupakkhandati
anupagamana	neuter	the not reaching, not entering upon	upagamana
anupaghāta	masculine & adjective	(masculine) non-injury; the not hurting	upaghāta
anupaghāta	masculine & adjective	(adjective) free from harm; not involving injury	upaghāta
anupajagghati	present 3 singular	laughs at, derides	anupakkhandati
anupajjhāyaka	adjective	without a teacher, without a preceptor	anupakkhandati
anupaññatta	adjective	additionally ordered or ruled	anuppaññatta
anupaññatti	feminine	an additional or supplemental rule	anuppaññatti
anupatati	present 3 singular	follows, pursues; falls in; falls upon, attacks	anupatati
anupatita	past participle adjective	following, accompanying, involved; followed by, affected with	anupatati
anupatta	past participle adjective	(passive) attained, reached	anuppatta
anupatta	past participle adjective	(act.) having attained, reached; arrived (at)	anuppatta
anupatti	feminine	attainment; accomplishment	anuppatti
anupada	neuter	a following word; the following quarter-stanza	
anupadeti	present 3 singular	gives (in addition), hands over, provides; encourages, supports	anuppadeti
anupaddava	adjective	free from misfortune or accident; safe; undamaged	upaddava
anupadduta	adjective	not assailed; free from distress or calamity	upadduta
anupadhika	adjective	free from attachment; free from acquisitions (which lead to rebirth)	anūpadhīka
anupanāha	masculine	freedom from resentment; goodwill	upanāha
anupanāhī	adjective	not resentful; without rancor	['anūpanāhi(n)', 'upanāhi(n)']
anupanāhi	adjective	not resentful; without rancor	['anūpanāhi(n)', 'upanāhi(n)']
anupanisa	adjective	lacking attention, inattentive	upanisa
anupanisa	adjective	without a cause, without prerequisite	upanisa
anupapīḷa	adjective	free from oppression; free from distress	
anupabbajati	present 3 singular	adopts the wanderer’s life after or in imitation (of another)	anupabbajati
anupabbajā	feminine	adopts the wanderer’s life after or in imitation (of another)	anupabbajati
anupama	adjective	incomparable, peerless; excellent, best	['anūpama & anopama', 'upamā']
anupaya	adjective	not going near (to); free from involvement	['anūpaya', 'upaya']
anuparigantuṃ	inf	to go round about	anuparigacchati
anuparigantvā	absolutive	having went round about	anuparigacchati
anuparigamma	absolutive	having went round about	anuparigacchati
anuparidhāvati	present 3 singular	runs round and round; surrounds	anuparidhāvati
anupariyagā	aorist 3 sg & 3 pl	went round about; went around	anuparidhāvati
anupariyāti	present 3 singular	goes round about; goes round after; travels about	anupariyāyati
anupariyāya	masculine	going around	anupariyāti
anupariyāyati	present 3 singular	goes round about; goes round after; travels about	anupariyāti
anupariyāyapatha	masculine	a path leading round, an encircling path; a path on a rampart	anupariyāya
anupariyāsi	aorist 1 singular	see anupariyāti)	anupariyāti
anupariyeti	present 3 singular	goes round and round; goes round in order	anupariyāti
anuparivattati	present 3 singular	turns or moves round after or along with; keeps on moving	anuparivattati
anuparivāreti	present 3 singular	surrounds; stands by, takes the side of	anuparivattati
anupariveṇiyam	indeclinable	to every cell; cell by cell	anuparivattati
anuparisakkati	present 3 singular	moves round after; escorts	anuparivattati
anuparisakkana	neuter	following, escorting	anuparivattati
anupariharati	present 3 singular	surrounds, encircles; embraces	anuparivattati
anupalakkhaṇa	neuter	lack of observation, lack of attention	
anupalabbhamāna	negative adjective	non-existent; is not perceived; is not ascertained	
anupalabbhiyamāna	negative adjective	non-existent; is not perceived; is not ascertained	
anupalitta	negative adjective	not attached to; not sticking to	['upalitta', 'anūpalitta']
anupavattayati	causative present 3 singular	keeps moving on after (another) or in succession; continues, maintains	anupavatteti
anupavatteti	causative present 3 singular	keeps moving on after (another) or in succession; continues, maintains	anupavattayati
anupavāda	masculine	lack of abuse; not blaming or criticizing	['upavāda', 'anūpavāda']
anupavādaka	masculine	one who does not criticize or abuse	upavādaka
anupavādī	adjective	not criticizing	
anupavādi	adjective	not criticizing	
anupaviṭṭha	past participle adjective	having entered, gone into; resorted to; present (in)	anupavisati
anupavisati	present 3 singular	enters (after); goes into; resorts to; is present (in)	anuppavisati
anupavecchati	present 3 singular	gives, presents; supplies, confers upon	anuppavecchati
anupasagga	adjective	not causing trouble or misfortune	['anupassagga', 'upasagga']
anupasaṭṭha	adjective	free from trouble; free from affliction	['anupassaṭṭha', 'upassaṭṭha']
anupassaka	adjective	looking at, regarding as; showing	
anupassagga	adjective	not causing trouble or misfortune	['anupasagga', 'upassagga']
anupassaṭṭha	adjective	free from trouble; free from affliction	['anupasaṭṭha', 'upassaṭṭha']
anupassati	adjective	looks at; contemplates	anupassati
anupassī	adjective	looking for; observing, considering	anupassati
anupassi	adjective	looking for; observing, considering	anupassati
anupahāra	masculine	not bringing; non-supply	upahāra
anupātī	adjective	following; attacking	
anupāti	adjective	following; attacking	
anupādā	negative absolutive	not taking as one’s own, not holding on to; without (material) support, without dependence	anupādāya
anupādāna	adjective & neuter	(adjective) without taking as one’s own, without holding on to; without (material) support, without fuel	upādāna
anupādāna	adjective & neuter	(neuter) not holding; on to; absence of support or fuel	upādāna
anupādāya	negative absolutive	not taking as one’s own, not holding on to, not grasping; without support, without dependence	anupādāya
anupādiṇṇa	negative adjective	not evolved or derived, primary; not evolved by the influence of kamma; inanimate	['anupādinna', 'upadiṇṇa']
anupādinna	negative adjective	not evolved or derived, primary; not evolved by the influence of kamma; inanimate	['anupādiṇṇa', 'upādinna']
anupādisesa	adjective	(of nibbāna, at death) without any remnant of material support (the result of previous kamma), absolute	upādisesa
anupādisesa	adjective	(of arhats) without any remnant of material support	upādisesa
anupādisesa	adjective	without any trace or infection remaining; without leaving; any trace or infection	upādisesa
anupāpuṇāti	present 3 singular	reaches, attains; falls to one’s lot	anupāpuṇāti
anupāya	adjective	not going near; free from involvement	upāya
anupāyāsa	adjective	trouble-free; not bringing annoyance	upāyāsa
anupāyāsa	adjective	not irritated, at peace; free from trouble or annoyance	upāyāsa
anupāsikā	feminine	one who is not a female lay-disciple	upāsikā
anupāhanā	adjective	without sandals; barefoot	upāhanā
anupāhāra	masculine	not bringing; non-supply	
anupucchamāna	adjective	inquiring after	anupucchati
anupuṭṭha	past participle adjective	asked	anupucchati
anupubbaṃ	accusative adverb	in regular order, by turn; gradually	
anupubbakāraṇa	neuter	gradual training	
anupubbakiriyā	feminine	regular or gradual working	
anupubbanirodha	masculine	successive cessation	
anupubbapaṭipadā	feminine	regular or gradual progress	
anupubbavihāra	masculine	gradual or successive stage (in meditation)	
anupubbavihārī	adjective	moving through successive stages	
anupubbavihāri	adjective	moving through successive stages	
anupubbasikkhā	feminine	regular or gradual training	
anupubbaso	adverb	in regular order	
anupubbena	instrumental adverb	gradually; successively, in due course	
anupekkhati	present 3 singular	regards, considers carefully or continually	anupekkhati
anupekkhita	past participle adjective	carefully or continually considered	anupekkhati
anupekkhī	adjective	watching, regarding carefully or continuously	anupekkhati
anupekkhi	adjective	watching, regarding carefully or continuously	anupekkhati
anupeti	present 3 singular	follows; goes over to; passes into	anupekkhati
anuposathikaṃ	indeclinable	every uposatha day	anupekkhati
anuposatha	masculine	not an uposatha day	uposatha
anuppaññatta	adjective	additionally ordered or ruled	anupaññatta
anuppaññatti	feminine	an additional or supplemental rule	anupaññatti
anuppatta	past participle adjective	(passive) attained, reached	anupāpuṇāti
anuppatta	past participle adjective	(act.) having attained, reached; arrived (at)	anupāpuṇāti
anuppatta vayo	phrase	having reached (old) age, old	anuppatta
anuppatti	feminine	attainment; accomplishment	anupatti
anuppadātar	masculine	a giver; one who bestows	
anuppadāta	masculine	a giver; one who bestows	
anuppadāna	neuter	giving, providing, administering	
anuppadiyamāna	passive present participle adjective	being given	anuppadeti
anuppadeti	present 3 singular	gives (in addition), hands over, provides; encourages, supports	anupadeti
anuppannapaññatti	feminine	a rule concerning a case not yet occurred	anuppanna
anuppaviṭṭha	past participle adjective	having entered, gone into; resorted to; present (in)	['anupavisati', 'anupaviṭṭha']
anuppavisati	present 3 singular	enters (after); goes into; resorts to; is present (in)	anupavisati
anuppavecchati	present 3 singular	gives, presents; supplies, confers upon	['anupavisati', 'anupavecchati']
anuppāda	masculine	non-appearance; non-production	uppāda
anuppādenta	negative adjective	not producing, not generating, not bringing into being	uppanna
anuppiya	adjective (neuter). or ~aṁ ind	(what is) pleasant, flattering; or pleasantly, flatteringly	
anuppiyabhāṇī	adjective	flattering; saying (only) pleasant things	anuppadeti
anuppiyabhāṇi	adjective	flattering; saying (only) pleasant things	anuppadeti
anuppiḷa	adjective	free from oppression; free from distress	anuppadeti
anubaddha	past participle adjective	(act.) following, keeping close to	anubandhati
anubandha	masculine & adjective	(masculine) binding, bondage; encumbrance	
anubandha	masculine & adjective	(adjective) who follows; who keeps close to	
anubandhati	present 3 singular	follows; keeps close to, attends closely; pursues	
anubandhanta	present participle adjective (f. ~antī)	follows; keeps close to, attends closely; pursues	anubandhati
anubalappādana	neuter	the giving of support; support	
anubujjhati	present 3 singular	understands; is conscious of; recollects	
anubuddha	past participle adjective	(passive) realized, understood	
anubuddha	past participle adjective	(act.) understanding; enlightened	
anubrūhati	present 3 singular	makes increase, fosters; devotes oneself to; practices	anubrūheti
anubrūhayati	present 3 singular	makes increase, fosters; devotes oneself to; practices	anubrūheti
anubrūhita	past participle adjective	increased; strengthened	anubrūheti
anubrūheti	present 3 singular	makes increase, fosters; devotes oneself to; practices	['anubrūhati', 'anubrūhayati']
anubhaṇanā	feminine	assenting, approval, supporting	
anubhavati	present 3 singular	experiences, enjoys, suffers; partakes of, has a share in; attains, is equal to; is able; suffices	anubhoti
anubhāga	masculine	an additional share	
anubhāsati	present 3 singular	speaks after, repeats; continually speaks	
anubhūta	past participle adjective	experienced, suffered, enjoyed	anubhavati
anubhoti	present 3 singular	experiences, enjoys, suffers; partakes of, has a share in. attains, is equal to; is able; suffices	anubhavati
anumajjati	present 3 singular	rubs, wipes; beats; applies (continuous) pressure; considers thoroughly	
anumaññati	present 3 singular	assents to; approves; gives leave	
anumata	past participle adjective	approved, consented to; permitted	anumaññati
anumatikappa	masculine	the practice of carrying out a formal act without a quorum, intending to ratify it later	
anumatipakkha	masculine	a consenting party	
anumasati	present 3 singular	touches; takes hold of (to examine); considers, examines	
anumassa	absolutive	examining each point; point by point	anumasati
anumāssa	absolutive	examining each point; point by point	anumasati
anuminitabba	future passive participle adjective	will have drawn an inference, concluded	
anumīyati	passive present 3 singular	infers; concludes	anumīyati
anumodaka	adjective	who gives thanks; who gives approvals	
anumodati	present 3 singular	rejoices in, approves; thanks; gives thanks (especially with a benediction or discourse, see anumodana)	anumodati
anumodana	neuter ~ā, feminine	approval, assent; thanks, expression of appreciation (especially in the form of a discourse by bhikkhus after receiving a meal or gifts)	anumodaniya
anumodaniya	neuter	thanks; expression of appreciation	anumodanīya
anumodanīya	neuter	thanks; expression of appreciation	anumodaniya
anumoditar	masculine	(from anumodati), one who rejoices in, one who approves	anumodati
anumodita	masculine	(from anumodati), one who rejoices in, one who approves	anumodati
anumoditabba	future passive participle adjective & neuter impers	in, one who approves	anumodati
anummattaka	adjective (f. -ikā)	not distracted; not insane	ummattaka
anuyanta	passive present adjective & masculine	following; a follower, a vassal	anuyāti
anuyāgī	adjective	offering after the example of another	
anuyāgi	adjective	offering after the example of another	
anuyāta	past participle adjective	followed	anuyāti
anuyāti	present 3 singular	goes after, follows; goes along through	anuyāyati
anuyāyati	present 3 singular	goes after, follows; goes along through	anuyāti
anuyuñjati	present 3 singular	practices, gives oneself up to	anuyuñjiyati
anuyuñjati	present 3 singular	questions, examines; calls to account	anuyuñjiyati
anuyuñjiyati	present 3 singular	practices, gives oneself up to	anuyuñjati
anuyuñjiyati	present 3 singular	questions, examines; calls to account	anuyuñjati
anuyuñjiyamāna	passive present participle adjective	being questioned	anuyuñjiyati
anuyutta	past participle adjective & neuter	(adjective)applying oneself to, practicing; intent upon	anuyuñjati
anuyutta	past participle adjective & neuter	(adjective and masculine) following, attending on; subject to; a vassal or subordinate king	anuyuñjati
anuyoga	masculine	application; devotion (to)	
anuyogaṃ dadāti	phrase	answers the question (satisfactorily), passes an examination	anuyoga
anuyogakkhama	adjective	which can stand scrutiny; who is fit to be questioned	anuyoga
anuyogabhaya	neuter	fear of interrogation	anuyoga
anuyogavatta	adjective	procedure in examination	anuyoga
anuyogī	masculine	applying oneself to; devoted to	
anuyogi	masculine	applying oneself to; devoted to	
anurakkhaṇa	neuter ~ā, feminine	guarding, preservation, taking care of	anurakkhana
anurakkhati	present 3 singular	protects, guards; preserves; takes care of	anurakkhati
anurakkhana	neuter ~ā, feminine	guarding, preservation, taking care of	anurakkhaṇa
anurakkhā	feminine	guarding; preservation	
anuratta	past participle adjective	attached or devoted to; fond of	anurañjati
anuraho	indeclinable	in secret, in private	
anurujjhati	present 3 singular	approves (of); is pleased or content	
anuruddha	past participle adjective	compliant; pleased with, approving	anurujjhati
anuruddhapaṭiviruddha	adjective	approving and rejecting	anuruddha
anurūpikā	present 3 singular	conforming; suitable	
anurodha	masculine	compliance, consideration, liking	
anurodhavirodha	masculine	compliance, and opposition; liking and dislike	anurodha
anuloma	adjective (f. ~ī?) n & masculine	‘with the hair’, in a natural direction or order; suitable	
anuloma	adjective (f. ~ī?) n & masculine	(adjective) fit; in accordance with	
anuloma	adjective (f. ~ī?) n & masculine	(neuter masculine) direct order, natural order; conformity, affirmation	
anulomaṃ	adverb	in a natural order; forwards	anuloma
anulomapaṭilena	instrumental adverb	in direct and reversed order, forwards and backwards:	anuloma
anulomapaṭilomaṃ	accusative adverb	in direct and reversed order, forwards and backwards:	anuloma
anulomayati	present 3 singular	bends with; conforms to, is in accordance (with, accusative or genitive); sets right, puts in proper order	anulometi
anulomika	adjective & neuter	(adjective) suitable agreeable; in accordance	
anulomika	adjective & neuter	(neuter) conformity; that which accords	
anulometi	present 3 singular	bends with; conforms to, is in accordance (with, accusative or genitive); sets right, puts in proper order	anulomayati
anullapanā	feminine	approbation, complimentary speech	
anuvajja	adjective & neuter	to be censured; a fault	anudavita
anuvattaka	adjective (f. -ikā)	following, attending, faithful (to); agreeing with; a follower, partisan, adherent	
anuvattati	present 3 singular	follows, attends, sides with; conforms with, practices; imitates	anuvattati
anuvattayati	causative present 3 singular	causes to go on after, keeps in motion; maintains, continues	['anuvatteti', 'anuvattati']
anuvattāpana	neuter	making conform to	
anuvattitabbal	future passive participle adjective & impersonal	to be followed; to be conformed to	anuvattati
anuvatteti	causative present 3 singular	causes to go on after, keeps in motion; maintains, continues	['anuvattayati', 'anuvattati']
anuvadati	present 3 singular	repeats the words of; approves; agrees with	anuvadati
anuvadati	present 3 singular	criticizes, censures	anuvadati
anuvadanā	feminine	approval; support	
anuvasati	present 3 singular	inhabits; dwells; stays	
anuvassaṃ	indeclinable	annually; every rainy season	
anuvassika	adjective	one who has kept one vassa residence; who has passed one rainy season	
anuvāceti	present 3 singular	recites after or again; teaches what has been taught	
anuvāta	masculine	a facing or border (on a bhikkhu’s robe)	
anuvātaṃ	indeclinable	with the wind; downwind	
anuvāda	masculine	repetition, further explanation; approval, support; faction-forming	
anuvāda	masculine	criticism; blame; censure	
anuvādadhikaraṇa	masculine	a legal question or case concerning support, or concerning a faction, or a legal question or case arising from censure or criticism	anuvāda
anuvikkhitta	adjective	(further) dispersed, distracted	
anuvigaṇeti	present 3 singular	considers, regards; takes notice of, takes account of	
anuvicarati	present 3 singular	wanders about or through; explores	anuvicarati
anuvicarati	present 3 singular	thinks of, ponders	anuvicarati
anuvicarāpeti	causative present 3 singular	guides (someone) round	anuvicarati
anuvicārayati	causative present 3 singular	gone through, explored; scrutinized	['anuvicāreti', 'anuvicarati']
anuvicarita	past participle adjective	gone through, explored; scrutinized	anuvicarati
anuvicāreti	causative present 3 singular	gone through, explored; scrutinized	['anuvicārayati', 'anuvicarati']
anuvicināti	present 3 singular	investigates; examines	anuvicināti
anuvicintayati	present 3 singular	thinks or ponders over; meditates upon	['anuvicināti', 'anuvicinteti']
anuvicinteti	present 3 singular	thinks or ponders over; meditates upon	['anuvicināti', 'anuvicintayati']
anuvicca	indeclinable	testing, examining; discerning, finding out	anuvicināti
anuviccakāra	masculine	considered action; action undertaken after scrutiny	anuvicca
anuvijjaka	masculine	an examiner; an adjudicator	
anuvijjamāna	present participle adjective	searching out, investigating; examining	
anuvijjā	feminine	examining	
anuvijjiyamāna	passive present adjective	is searched out, investigated; is examined	anuvijjati
anuvitakketi	present 3 singular	reflects upon, ponders over	anuvitakketi
anuvidita	adjective	thoroughly understanding; well informed	anuvijjati
anuvidhāyaka	adjective	acting in conformity with	
anuvidhiyyati	present 3 singular	acts in conformity with; follows the rules of, follows	anuvidhīyati
anuvidhīyati	present 3 singular	acts in conformity with; follows the rules of, follows	anuvidhiyyati
anuvidhīyanā	feminine	acting in accordance with; acting in conformity	anuvidhīyati
anuvilokayati	present 3 singular	looks round at; surveys	anuviloketi
anuviloketi	present 3 singular	looks round at; surveys	['anuviloketi', 'anuvilokayati']
anuvivaṭṭa	neuter	a side-piece of a bhikkhu’s robe	anuviloketi
anuvisaṭa	adjective	dispersed; spread; distracted	
anuvedha	masculine	a further or second stab	
anuvyañjanaṃ	indeclinable	letter by letter	
anuvyañjanaggāhī	adjective	occupying oneself with details or minor characteristics	
anuvyañjanaggāhi	adjective	occupying oneself with details or minor characteristics	
anuvyañjanaso	indeclinable	as to detail; in detail	
anuvyañjanaso	indeclinable	as to the letter, the accurate text (?)	
anusaṃyāyati	pr 3 singular	goes through, travels about; inspects, supervises; goes along with, escorts	anusaññāyati
anusaṃvaccharaṃ	indeclinable	yearly; every year	
anusaṃsāvetvā	absolutive	having attended; having escorted	
anusajjhāyati	present 3 singular	recites again; repeats	
anusañcarati	present 3 singular	goes around, walks about (with); walks along, traverses; considers	anusañcarati
anusaññāyati	pr 3 singular	goes through, travels about; inspects, supervises; goes along with, escorts	anusaṁyāyati
anusati	feminine	recollection, remembrance, calling to mind	anussati
anusantata	adjective	extended; continued	
anusantatavutti	adjective	continually practicing	anusantata
anusandati	present 3 singular	flows, flows along; moves along, moves to; moves after	anusandati
anusandahati	present 3 singular	applies to, connects with, fixes on; aims at; conforms to	['anusandhati', 'anusandheti']
anusandhati	present 3 singular	applies to, connects with, fixes on; aims at; conforms to	['anusandhati', 'anusandheti']
anusandeti	present 3 singular	applies to, connects with, fixes on; aims at; conforms to	['anusandati', 'anusandhati', 'anusandheti']
anusampavaṅkatā	feminine	being inclined towards; intimacy	
anusaya	masculine	(latent) disposition, tendency, propensity, inherence	
anusayī	adjective	latent; persistent	anusayati
anusayi	adjective	latent; persistent	anusayati
anusayita	past participle adjective	inherent, persistent, latent	['anusayati', 'anuseti']
anusarati	present 3 singular	follows, pursues; conforms oneself to	anussarati
anusavati	present 3 singular	flows in; flows upon	anussavati
anusāyika	adjective	inherent, persistent	
anusārī	adjective	a fragrant substance	
anusāvana	neuter -ā, feminine	causing to be heard, sounding; proclamation (especially of a kammavācā)	anussāvana
anusāvana	neuter -ā, feminine	canvassing, speaking repeatedly (in order to win support)	anussāvana
anusāveti	present 3 singular	causes to be heard; speaks out; proclaims (especially a kammavācā); presents (someone) for upasampadā; speaks repeatedly (in order to win support)	['anussāveti', 'anussāvayati']
anusāsa	masculine	(someone) for upasampadā; speaks repeatedly (in)	
anusāsaka	masculine	order to win support)	
anusāsati	present 3 singular	teaches, instructs; advises, exhorts; guides, leads (a group); governs, administers	anusāsati
anusāsana	neuter	advice; instruction	
anusāsanī	feminine	advice; instruction; admonition	
anusāsanīpāṭiharīya	neuter	the miracle of teaching (one of the three marvels of the Buddha)	
anusāsikā	masculine	who advises; an instructor, adviser; a preceptor	anusāsaka
anusikkhati	present 3 singular	learns, practices, studies; especially practices (something, accusative) in imitation of (somebody, genitive), follows someone’s example in; follows, imitates (someone, usually genitive, occasionally accusative)	anusikkhati
anusikkhī	adjective	(from anusikkhati) studying, learning; following, imitating	anusikkhati
anusikkhi	adjective	(from anusikkhati) studying, learning; following, imitating	anusikkhati
anusiṭṭha	past participle adjective	instructed, taught, advised	anusāsati
anusiṭṭhi	feminine	instruction; admonition; ordering	
anusuyyaka	adjective (f. -ikā)	not envious; free from jealousy	['usuyyaka', 'anusūyaka']
anusuyyāyamāna	negative adjective	not envious, not discontent	anusūyāyamāna
anusūyaka	adjective (f. -ikā)	not envious; free from jealousy	['usūyaka', 'anusuyyaka']
anusūyāyamāna	negative adjective	not envious, not discontent	anusuyyāyamāna
anuseti	present 3 singular	clings to, is occupied with	
anuseti	present 3 singular	lies latent; inheres; recurs persistently	
anusocati	present 3 singular	bewails, mourns over, regrets	anusocati
anusocana	neuter	mourning; sorrow	
anusotapaṭisotaṃ	indeclinable	up and down-stream	anusotaṁ
anusotaṃ	indeclinable	with the stream or current, downstream	
anusotagāmī	adjective	following the stream; going with the current	anusotaṁ
anusotagāmi	adjective	following the stream; going with the current	anusotaṁ
anussaṅkī	adjective	without apprehension, not fearful	ussaṅki(n)
anussaṅki	adjective	without apprehension, not fearful	ussaṅki(n)
anussatānuttariya	neuter	the supremacy of recollection	anussati
anussati	feminine	recollection, remembrance, calling to mind	anusati
anussatiṭṭhāna	neuter	a subject of recollection	anussati
anussada	adjective	without excesses, without obtrusiveness	ussada
anussadaka	adjective	not overflowing	ussadaka
anussaraṇa	neuter	remembrance; repeated recollection	
anussaraṇaka	adjective	who remembers	
anussarati	present 3 singular	follows, pursues; conforms oneself to	anusarati
anussarati	present 3 singular	 remembers, recollects, calls to mind; reflects upon	anusarati
anussaritabba	future passive participle adjective	will remember; will recollect	anusarati
anussaritar	masculiner	one who remembers or recollects	
anussarita	masculiner	one who remembers or recollects	
anussava	masculine	what has been heard or repeated; hearsay; tradition	
anussavati	present 3 singular	flows in; flows upon	anusavati
anussavappasanna	adjective	who believes from hearsay or report	anussava
anussavasacca	adjective	depending on tradition for one’s truths; accepting tradition as true	anussava
anussāvaka	masculine	one who proclaims (the kammavācā); one who presents for upasampadā	
anussāvana	neuter -ā, feminine	causing to be heard, sounding; proclamation (especially of a kammavācā)	anusāvana
anussāvana	neuter -ā, feminine	canvassing, speaking repeatedly (in order to win support)	anusāvana
anussāvayati	present 3 singular	causes to be heard; speaks out; proclaims (especially a kammavācā); presents (someone) for upasampadā; speaks repeatedly (in order to win support)	['anussāveti', 'anusāveti']
anussāvita	past participle adjective	announced; proclaimed	anussāveti
anussāviyamāna	present participle adjective	being proclaimed; being announced	['anusāveti', 'anussāveti']
anussāveti	present 3 singular	causes to be heard; speaks out; proclaims (especially a kammavācā); presents (someone) for upasampadā; speaks repeatedly (in order to win support)	['anusāveti', 'anussāvayati']
anussāha	masculine	want of exertion or determination	ussāha
anussita	adjective	not exalted, humble	ussita
anussuka	adjective	not busy, quiet, unconcerned	ussuka
anussuta	past participle	free from lust or defilement	anussarati
anuhīramāna	adjective	being held over	
anūdaka	adjective	without water	['anudaka and anodaka', 'udaka']
anūna	adjective	not less; not deficient; complete; full	ūna
anūnaka	adjective	not deficient, complete; having no lack (of, instrumental)	ūnaka
anūpadhīka	adjective	free from attachment; free from acquisitions (which lead to rebirth)	anūpadhīka
anūpanāhī	adjective	not resentful; without rancor	['anupanāhi(n)', 'upanāhi(n)']
anūpanāhi	adjective	not resentful; without rancor	['anupanāhi(n)', 'upanāhi(n)']
anūpama	adjective	incomparable, peerless; excellent, best	['anupama & anopama', 'upamā']
anūpaya	adjective	not going near (to); free from involvement	['anupaya', 'upaya']
anūpalitta	negative adjective	not attached to; not sticking to	['upalitta', 'anupalitta']
anūpavāda	masculine	lack of abuse; not blaming or criticizing	['upavāda', 'anupavāda']
anūsara	adjective	not having saline soil	ūsara
anūhata	adjective	not removed; not extracted, not rooted out	
aneka	adjective	not one, i.e. many, various; of various kinds; countless, numberless	eka
anekaṃsikata	adjective	not decided; not determined; not absolute	
anekapariyāyena	adverb	in many ways; in a manifold way; with several parallel expressions	aneka
anekabhāga	adjective	multiplied; manifold	aneka
anekarūpa	adjective & neuter	(adjective) various, of various kinds, of many forms	aneka
